Country,Fraction age 0-14 years,Fraction age 15-64 years,Fraction age 65+ years
USA,0.18899999999999997,0.657,0.154
Russia,0.17600000000000002,0.682,0.142
Spain,0.147,0.659,0.19399999999999998
Brazil,0.217,0.6970000000000001,0.086
UK,0.177,0.638,0.185
Italy,0.135,0.635,0.23
France,0.18100000000000002,0.622,0.19699999999999998
Germany,0.131,0.655,0.215
Turkey,0.25,0.669,0.08199999999999999
Iran,0.237,0.7090000000000001,0.054000000000000006
India,0.278,0.662,0.06
Peru,0.27399999999999997,0.655,0.07200000000000001
China,0.177,0.7170000000000001,0.106
Canada,0.16,0.67,0.17
Saudi Arabia,0.252,0.715,0.033
Belgium,0.171,0.643,0.18600000000000003
Mexico,0.267,0.665,0.069
Chile,0.203,0.6859999999999999,0.111
Netherlands,0.16399999999999998,0.648,0.188
Pakistan,0.348,0.607,0.045
Qatar,0.139,0.848,0.013000000000000001
Ecuador,0.284,0.645,0.071
Switzerland,0.149,0.667,0.184
Belarus,0.16699999999999998,0.685,0.14800000000000002
Sweden,0.175,0.625,0.19899999999999998
Portugal,0.136,0.649,0.215
Singapore,0.15,0.721,0.129
Ireland,0.21600000000000003,0.644,0.139
UAE,0.139,0.85,0.011000000000000001
Bangladesh,0.284,0.665,0.051
Poland,0.14800000000000002,0.684,0.168
Ukraine,0.155,0.68,0.165
Indonesia,0.27399999999999997,0.6729999999999999,0.053
Romania,0.153,0.669,0.179
Israel,0.27899999999999997,0.604,0.11699999999999999
South Africa,0.29,0.657,0.053
Japan,0.129,0.601,0.27
Colombia,0.235,0.6890000000000001,0.076
Austria,0.141,0.667,0.192
Kuwait,0.21100000000000002,0.7659999999999999,0.023
Egypt,0.335,0.614,0.052000000000000005
Dominican Republic,0.293,0.637,0.07
Philippines,0.317,0.635,0.048
S. Korea,0.135,0.726,0.139
Denmark,0.165,0.638,0.19699999999999998
Serbia,0.165,0.662,0.174
Panama,0.27399999999999997,0.647,0.079
Czechia,0.154,0.6559999999999999,0.19
Argentina,0.249,0.639,0.11199999999999999
Norway,0.17800000000000002,0.654,0.168
Algeria,0.293,0.645,0.062
Bahrain,0.19699999999999998,0.779,0.024
Afghanistan,0.43200000000000005,0.542,0.026000000000000002
Australia,0.19,0.655,0.155
Morocco,0.27399999999999997,0.6579999999999999,0.068
Malaysia,0.243,0.6940000000000001,0.063
Kazakhstan,0.27899999999999997,0.6509999999999999,0.07
Finland,0.16399999999999998,0.624,0.212
Nigeria,0.44,0.5329999999999999,0.027999999999999997
Moldova,0.157,0.7340000000000001,0.109
Ghana,0.385,0.581,0.034
Oman,0.218,0.758,0.024
Armenia,0.2,0.688,0.11199999999999999
Bolivia,0.316,0.617,0.067
Luxembourg,0.165,0.6920000000000001,0.14300000000000002
Iraq,0.40399999999999997,0.564,0.032
Hungary,0.14300000000000002,0.6709999999999999,0.18600000000000003
Cameroon,0.42700000000000005,0.541,0.032
Azerbaijan,0.233,0.7070000000000001,0.06
Thailand,0.17300000000000001,0.713,0.114
Greece,0.142,0.654,0.204
Guinea,0.423,0.546,0.031
Uzbekistan,0.28,0.675,0.045
Honduras,0.316,0.637,0.047
Sudan,0.408,0.556,0.035
Senegal,0.429,0.541,0.03
Bosnia and Herzegovina,0.141,0.693,0.166
Bulgaria,0.142,0.65,0.20800000000000002
Croatia,0.147,0.6559999999999999,0.19699999999999998
Ivory Coast,0.424,0.546,0.028999999999999998
Guatemala,0.35100000000000003,0.603,0.047
Cuba,0.161,0.6920000000000001,0.147
North Macedonia,0.25,0.662,0.08900000000000001
Iceland,0.201,0.655,0.14400000000000002
Estonia,0.16399999999999998,0.642,0.195
Tajikistan,0.353,0.613,0.035
Lithuania,0.14800000000000002,0.662,0.19
DRC,0.46299999999999997,0.507,0.03
Djibouti,0.311,0.647,0.042
New Zealand,0.198,0.649,0.153
Slovakia,0.154,0.696,0.151
Slovenia,0.15,0.66,0.191
Somalia,0.46399999999999997,0.508,0.027000000000000003
Gabon,0.359,0.596,0.045
El Salvador,0.27399999999999997,0.644,0.083
Mayotte,,,
Kyrgyzstan,0.318,0.637,0.045
Maldives,0.23399999999999999,0.725,0.040999999999999995
Hong Kong,0.115,0.722,0.163
Tunisia,0.24,0.68,0.08
Guinea-Bissau,0.40700000000000003,0.555,0.03
Latvia,0.154,0.648,0.198
Sri Lanka,0.24,0.659,0.10099999999999999
Albania,0.174,0.6890000000000001,0.132
Lebanon,0.231,0.684,0.085
Cyprus,0.168,0.698,0.134
Kenya,0.405,0.568,0.027000000000000003
Niger,0.502,0.47200000000000003,0.026000000000000002
Mali,0.47700000000000004,0.498,0.025
Costa Rica,0.213,0.6890000000000001,0.095
Burkina Faso,0.452,0.524,0.024
Paraguay,0.294,0.642,0.064
Andorra,,,
Zambia,0.44799999999999995,0.527,0.025
Uruguay,0.21100000000000002,0.643,0.147
Equatorial Guinea,0.37200000000000005,0.6,0.027999999999999997
Georgia,0.192,0.66,0.149
San Marino,,,
Jordan,0.355,0.607,0.038
Venezuela,0.276,0.6579999999999999,0.066
Malta,0.14400000000000002,0.6609999999999999,0.19399999999999998
Channel Islands,,,
Haiti,0.33,0.622,0.048
Jamaica,0.22699999999999998,0.6759999999999999,0.09699999999999999
Chad,0.47100000000000003,0.504,0.025
Sierra Leone,0.42100000000000004,0.5539999999999999,0.025
Tanzania,0.449,0.52,0.031
Réunion,,,
Taiwan,0.13119999999999998,0.7302,0.1386
Congo,0.423,0.5429999999999999,0.034
Palestine,0.396,0.574,0.03
Nepal,0.309,0.633,0.057999999999999996
Ethiopia,0.406,0.5589999999999999,0.035
Benin,0.42700000000000005,0.541,0.032
Isle of Man,,,
Mauritius,0.184,0.7070000000000001,0.109
Togo,0.41600000000000004,0.556,0.027999999999999997
Cabo Verde,,,
CAR,0.43200000000000005,0.531,0.037000000000000005
Montenegro,0.18100000000000002,0.6709999999999999,0.14800000000000002
Vietnam,0.231,0.698,0.07200000000000001
Madagascar,0.41,0.561,0.028999999999999998
Rwanda,0.401,0.569,0.03
South Sudan,0.41700000000000004,0.5489999999999999,0.034
Uganda,0.47700000000000004,0.501,0.022000000000000002
Sao Tome and Principe,,,
Liberia,0.418,0.551,0.031
French Guiana,,,
Eswatini,0.37200000000000005,0.597,0.032
Martinique,,,
Myanmar,0.268,0.674,0.057
Faeroe Islands,,,
Guadeloupe,,,
Gibraltar,,,
Mozambique,0.44799999999999995,0.521,0.032
Brunei,0.23,0.7240000000000001,0.046
Mongolia,0.297,0.6629999999999999,0.04
Yemen,0.39899999999999997,0.5720000000000001,0.028999999999999998
Bermuda,,,
Guyana,0.281,0.657,0.053
Cambodia,0.313,0.643,0.044000000000000004
Trinidad and Tobago,0.207,0.693,0.1
Aruba,,,
Monaco,,,
Bahamas,0.205,0.706,0.09
Cayman Islands,,,
Barbados,0.191,0.66,0.15
Liechtenstein,,,
Mauritania,0.39899999999999997,0.569,0.031
Sint Maarten,,,
Malawi,0.44,0.53,0.03
Libya,0.282,0.674,0.044000000000000004
French Polynesia,,,
Syria,0.366,0.591,0.043
Angola,0.46799999999999997,0.508,0.024
Zimbabwe,0.41200000000000003,0.56,0.027999999999999997
Macao,,,
Burundi,0.45,0.524,0.026000000000000002
Saint Martin,,,
Eritrea,0.418,0.546,0.036000000000000004
Nicaragua,0.29,0.655,0.054000000000000006
Antigua and Barbuda,0.239,0.6920000000000001,0.069
Botswana,0.314,0.647,0.039
Gambia,0.45299999999999996,0.523,0.023
Timor-Leste,0.436,0.528,0.036000000000000004
Grenada,0.263,0.664,0.073
Bhutan,0.266,0.6859999999999999,0.049
Laos,0.32899999999999996,0.631,0.04
Belize,0.314,0.647,0.039
Fiji,0.285,0.653,0.062
New Caledonia,,,
Saint Lucia,0.18899999999999997,0.7140000000000001,0.09699999999999999
St. Vincent Grenadines,,,
Curaçao,0.187,0.649,0.16399999999999998
Dominica,,,
Namibia,0.36700000000000005,0.598,0.036000000000000004
Saint Kitts and Nevis,,,
Falkland Islands,,,
Turks and Caicos,,,
Vatican City,,,
Comoros,0.39799999999999996,0.573,0.03
Montserrat,,,
Suriname,0.264,0.6659999999999999,0.069
Greenland,,,
Seychelles,0.222,0.6920000000000001,0.086
British Virgin Islands,,,
Papua New Guinea,0.359,0.603,0.038
Caribbean Netherlands,,,
St. Barth,,,
Western Sahara,,,
Anguilla,,,
Lesotho,0.354,0.601,0.045
Saint Pierre Miquelon,,,
